connector,pin,col,row,signal
Conn0,L47,L,47,PCIE_TX4P
Conn0,A48,A,48,PCIE_RX6N
Conn0,B48,B,48,GND
Conn0,C48,C,48,PCIE_RX5N
Conn0,D48,D,48,GND
Conn0,E48,E,48,PCIE_RX4N
Conn0,F48,F,48,GND
Conn0,G48,G,48,PCIE_TX6N
Conn0,H48,H,48,GND
Conn0,J48,J,48,PCIE_TX5N
Conn0,K48,K,48,GND
Conn0,L48,L,48,PCIE_TX4N
Conn0,A49,A,49,GND
Conn0,B49,B,49,PCIE_RX8P
Conn0,C49,C,49,GND
Conn0,D49,D,49,PCIE_RX7P
Conn0,E49,E,49,GND
Conn0,F49,F,49,TEST9
Conn0,G49,G,49,GND
Conn0,H49,H,49,PCIE_TX8P
Conn0,J49,J,49,GND
Conn0,K49,K,49,PCIE_TX7P
Conn0,L49,L,49,GND
Conn0,A50,A,50,GND
Conn0,B50,B,50,PCIE_RX8N
Conn0,C50,C,50,GND
Conn0,D50,D,50,PCIE_RX7N
Conn0,E50,E,50,GND
Conn0,F50,F,50,RFU
Conn0,G50,G,50,GND
Conn0,H50,H,50,PCIE_TX8N
Conn0,J50,J,50,GND
Conn0,K50,K,50,PCIE_TX7N
Conn0,L50,L,50,GND
Conn0,A51,A,51,PCIE_RX11P
Conn0,B51,B,51,GND
Conn0,C51,C,51,PCIE_RX10P
Conn0,D51,D,51,GND
Conn0,E51,E,51,PCIE_RX9P
Conn0,F51,F,51,GND
Conn0,G51,G,51,PCIE_TX11P
Conn0,H51,H,51,GND
Conn0,J51,J,51,PCIE_TX10P
Conn0,K51,K,51,GND
Conn0,L51,L,51,PCIE_TX9P
Conn0,A52,A,52,PCIE_RX11N
Conn0,B52,B,52,GND
Conn0,C52,C,52,PCIE_RX10N
Conn0,D52,D,52,GND
Conn0,E52,E,52,PCIE_RX9N
Conn0,F52,F,52,GND
Conn0,G52,G,52,PCIE_TX11N
Conn0,H52,H,52,GND
Conn0,J52,J,52,PCIE_TX10N
Conn0,K52,K,52,GND
Conn0,L52,L,52,PCIE_TX9N
Conn0,A53,A,53,GND
Conn0,B53,B,53,PCIE_RX13P
Conn0,C53,C,53,GND
Conn0,D53,D,53,PCIE_RX12P
Conn0,E53,E,53,GND
Conn0,F53,F,53,GND
Conn0,G53,G,53,GND
Conn0,H53,H,53,PCIE_TX13P
Conn0,J53,J,53,GND
Conn0,K53,K,53,PCIE_TX12P
Conn0,L53,L,53,GND
Conn0,A54,A,54,GND
Conn0,B54,B,54,PCIE_RX13N
Conn0,C54,C,54,GND
Conn0,D54,D,54,PCIE_RX12N
Conn0,E54,E,54,GND
Conn0,F54,F,54,GND
Conn0,G54,G,54,GND
Conn0,H54,H,54,PCIE_TX13N
Conn0,J54,J,54,GND
Conn0,K54,K,54,PCIE_TX12N
Conn0,L54,L,54,GND
Conn0,A55,A,55,PCIE_RX15P
Conn0,B55,B,55,GND
Conn0,C55,C,55,PCIE_RX14P
Conn0,D55,D,55,GND
Conn0,E55,E,55,GND
Conn0,F55,F,55,GND
Conn0,G55,G,55,GND
Conn0,H55,H,55,GND
Conn0,J55,J,55,PCIE_TX15P
Conn0,K55,K,55,GND
Conn0,L55,L,55,PCIE_TX14P
Conn0,A56,A,56,PCIE_RX15N
Conn0,B56,B,56,GND
Conn0,C56,C,56,PCIE_RX14N
Conn0,D56,D,56,GND
Conn0,E56,E,56,GND
Conn0,F56,F,56,GND
Conn0,G56,G,56,GND
Conn0,H56,H,56,GND
Conn0,J56,J,56,PCIE_TX15N
Conn0,K56,K,56,GND
Conn0,L56,L,56,PCIE_TX14N
Conn0,A57,A,57,GND
Conn0,B57,B,57,GND
Conn0,C57,C,57,GND
Conn0,D57,D,57,GND
Conn0,E57,E,57,GND
Conn0,F57,F,57,GND
Conn0,G57,G,57,GND
Conn0,H57,H,57,GND
Conn0,J57,J,57,GND
Conn0,K57,K,57,GND
Conn0,L57,L,57,GND
Conn0,A58,A,58,GND
Conn0,B58,B,58,GND
Conn0,C58,C,58,GND
Conn0,D58,D,58,GND
Conn0,E58,E,58,GND
Conn0,F58,F,58,GND
Conn0,G58,G,58,GND
Conn0,H58,H,58,DO_NOT_USE
Conn0,J58,J,58,GND
Conn0,K58,K,58,DO_NOT_USE
Conn0,L58,L,58,GND
Conn0,A59,A,59,P12V1
Conn0,B59,B,59,P12V2
Conn0,C59,C,59,P12V2
Conn0,D59,D,59,P12V2
Conn0,E59,E,59,P12V2
Conn0,F59,F,59,P12V2
Conn0,G59,G,59,GND
Conn0,H59,H,59,P48V
Conn0,J59,J,59,GND
Conn0,K59,K,59,P48V
Conn0,L59,L,59,GND
Conn0,A60,A,60,P12V1
Conn0,B60,B,60,P12V2
Conn0,C60,C,60,P12V2
Conn0,D60,D,60,P12V2
Conn0,E60,E,60,P12V2
Conn0,F60,F,60,P12V2
Conn0,G60,G,60,GND
Conn0,H60,H,60,P48V
Conn0,J60,J,60,DO_NOT_USE
Conn0,K60,K,60,P48V
Conn0,L60,L,60,DO_NOT_USE
Conn0,A61,A,61,P12V1
Conn0,B61,B,61,P12V2
Conn0,C61,C,61,P12V2
Conn0,D61,D,61,P12V2
Conn0,E61,E,61,P12V2
Conn0,F61,F,61,P12V2
Conn0,G61,G,61,GND
Conn0,H61,H,61,P48V
Conn0,J61,J,61,P48V
Conn0,K61,K,61,P48V
Conn0,L61,L,61,P48V
Conn0,A62,A,62,P12V1
Conn0,B62,B,62,P12V1
Conn0,C62,C,62,P12V2
Conn0,D62,D,62,P12V2
Conn0,E62,E,62,P12V2
Conn0,F62,F,62,P12V2
Conn0,G62,G,62,GND
Conn0,H62,H,62,P48V
Conn0,J62,J,62,P48V
Conn0,K62,K,62,P48V
Conn0,L62,L,62,P48V
Conn0,C63,C,63,P12V2
Conn0,D63,D,63,P12V2
Conn0,E63,E,63,P12V2
Conn0,F63,F,63,P12V2
Conn0,G63,G,63,GND
Conn0,H63,H,63,P48V
Conn0,J63,J,63,P48V
Conn0,C64,C,64,P12V2
Conn0,D64,D,64,P12V2
Conn0,E64,E,64,P12V2
Conn0,F64,F,64,P12V2
Conn0,G64,G,64,GND
Conn0,H64,H,64,P48V
Conn0,J64,J,64,P48V
Conn1,C1,C,1,GND
Conn1,D1,D,1,CONN1_MODPRS#
Conn1,E1,E,1,GND
Conn1,F1,F,1,CONN1_RESET#
Conn1,G1,G,1,GND
Conn1,H1,H,1,CONN1_YELLOW_LED
Conn1,J1,J,1,GND
Conn1,C2,C,2,GND
Conn1,D2,D,2,CONN1_MODSEL#
Conn1,E2,E,2,GND
Conn1,F2,F,2,CONN1_GREEN_LED
Conn1,G2,G,2,GND
Conn1,H2,H,2,CONN2_INITMODE
Conn1,J2,J,2,GND
Conn1,A3,A,3,CONN1_INITMODE
Conn1,B3,B,3,GND
Conn1,C3,C,3,RFU
Conn1,D3,D,3,GND
Conn1,E3,E,3,S7_TX15N
Conn1,F3,F,3,GND
Conn1,G3,G,3,RFU
Conn1,H3,H,3,GND
Conn1,J3,J,3,RFU
Conn1,K3,K,3,GND
Conn1,L3,L,3,CONN2_INT#
Conn1,A4,A,4,CONN1_INT#
Conn1,B4,B,4,GND
Conn1,C4,C,4,RFU
